PMID,Title,Abstract,Reviewer1_Decision,Reviewer1_Notes,Reviewer2_Decision,Reviewer2_Notes,Final_Decision,Exclusion_Reason
"11509269","Pulmonary function testing after operative stabilisation of the chest wall for  flail chest.","OBJECTIVE: This is a prospective evaluation of chest wall integrity and pulmonary  function in patients with operative stabilisation for flail chest injuries.  METHODS: From 1990 to 1999, 66 patients (56 men, 10 women; mean age 52.6 years)  with antero-lateral flail chest (> or =4 ribs fractured at > or =2 sites)  underwent surgical stabilisation using reconstruction plates. Clinical assessment  and pulmonary function testing were performed at 6 months following surgery.  RESULTS: Fifty-five (83","","","","","",""
"11515905","Operative stabilization of a flail chest six years after injury.","We report a case of operative stabilization of an incompetent upper chest wall 6  years following flail chest. The indications for stabilization were chronic pain  and dyspnea associated with rib malunion and loss of hemithorax volume. At  operation, multiple pseudoarthroses were encountered and partial resection of  ribs three and four was required. Malleable plates were used to bridge the gaps  created by the resection and were secured in place with sternal wire. The patient  reported a dramat","","","","","",""
"11587704","Operative stabilisation of painful non-united multiple rib fractures.","","","","","","",""
"11820411","Assessing the severity of truncal gunshot wounds: a nation-wide analysis from  Finland.","BACKGROUND AND AIMS: Gunshot wounds of the chest and abdomen are potentially  life-threatening, but there is a great variation in their actual severity  emphasising the importance of accurate severity assessment for prehospital  decision-making, clinical management and outcome prediction. The purpose was to  analyse the severity of truncal gunshot injuries from a nation wide data base  during a 5-year period with comparison to a previous 5-year period, and to assess  the ability of the New Injur","","","","","",""
"11956391","Surgical stabilization of internal pneumatic stabilization? A prospective  randomized study of management of severe flail chest patients.","BACKGROUND: We compared the clinical efficacy of surgical stabilization and  internal pneumatic stabilization in severe flail chest patients who required  prolonged ventilatory support. METHODS: Thirty-seven consecutive severe flail  chest patients who required mechanical ventilation were enrolled in this study.  All the patients received identical respiratory management, including  end-tracheal intubation, mechanical ventilation, continuous epidural anesthesia,  analgesia, bronchoscopic aspirat","","","","","",""
"11990843","Traumatic thoracic spinal fracture dislocation with minimal or no cord injury.  Report of four cases and review of the literature.","OBJECT: Thoracic fracture dislocations reportedly lead to complete paraplegia in  80% of cases. It is rare for these dislocations not to cause neurological  deficits, as evidenced by the mere 11 well-documented neurologically intact cases  in the English-language literature. METHODS: The authors report four cases of  thoracic fracture dislocation that remained neurologically intact and discuss 11  other previously published well-documented cases. Overall there were 10 men and  five women with a ","","","","","",""
"12030045","[Early surgical stabilization of the thorax].","Patients with non-penetrating chest trauma are encountered with increasing  frequency. Car crash is the main cause of blunt chest trauma. Despite their  nature these lesions may be life-threatening. The mortality rate of chest  injuries varies from 20 to 50%. In the last 3 years 86 patients with blunt chest  injuries were treated in our institution. 24 patients underwent surgical repair.  We compared the outcome of surgical and conservative treatment. Early diagnosis  and proper treatment reduce","","","","","",""
"12103366","Transcutaneous electrical nerve stimulation for pain management in patients with  uncomplicated minor rib fractures.","OBJECTIVE: Few non-surgical conditions are more painful than rib fractures. There  are a few methods for pain relief in patients with minor rib fractures. METHODS:  We used a non-steroidal anti-inflammatory drug (NSAID, Naproxen sodium) and  transcutaneous electrical nerve stimulator (TENS) to control pain of the patients  with uncomplicated minor rib fractures. One hundred consecutive patients admitted  to Kartal Education and Research Hospital Emergency Service, were randomized into  four grou","","","","","",""
"1222462","[Flail chest in a child. Cure by the combination of osteosynthesis and continuous  traction].","","","","","","",""
"12238872","Traumatic extrathoracic lung herniation.","Traumatic extrathoracic lung herniation is an exceptional complication of blunt  chest trauma. We report the case of a 46-year-old man who was involved in a  motorcycle accident and who suffered a left clavicle fracture-dislocation  associated with multiple rib fractures and massive herniation of the left upper  lobe through an upper anterior chest wall defect. Immediate surgical repair  through an atypical transcostal vertical thoracotomy resulted in full recovery of  pulmonary function at 1 ye","","","","","",""
"1235693","[Surgical treatment of fractures in persons with multiple injuries].","","","","","","",""
"1235711","[Multiple injuries at the surgical department of the military hospital Meljina in  the last 3 years].","","","","","","",""
"1270498","The management of thoracic and thoraco-lumbar injuries of the spine with  neurological involvement.","The results of treatment of injuries of the thoracic and thoraco-lumbar spine  with neurological involvement have been reviewed in a retrospective study of 115  patients, of whom eighty-nine received conservative and twenty-six surgical  treatment. Operation was reserved, in general, for patients with irreducible  dislocations and incomplete neurological lesions, open reduction and internal  fixation being the commonest procedure. Only three patients required a delayed  spinal fusion for suspect","","","","","",""
"1285977","[Diagnosis and treatment of complex closed chest injuries].","The results of treatment of 256 patients with complicated closed chest injury are  discussed. Multiple fractures of the ribs were found in 178, closed pneumothorax  in 127, pneumohemothorax in 71, isolated hemothorax in 55, and rupture of the  diaphragm in 3 patients. Most patients received nonoperative treatment, 5  patients (6.1%) needed emergency thoracotomy. Early drainage of the pleural  cavity, endoscopic (thoracoscopy, bronchoscopy) methods of treatment, mechanical  stabilization of float","","","","","",""
"12950135","Acute myocardial infarction caused by coronary artery dissection following blunt  chest trauma.","Chest trauma can lead to various cardiac complications ranging from simple  arrhythmias to myocardial rupture. An acute myocardial infarction (AMI) is a rare  complication that can occur after chest trauma. We report a case of 66-year-old  male who suffered a blunt chest trauma from a traffic accident resulting in an  AMI. The coronary angiography revealed an eccentric 50% narrowing of the ostium  of left anterior descending artery (LAD) by a dissection flap with calcification.  Intravascular ul","","","","","",""
"13523170","Stove-in chest; a new method of internal fixation.","","","","","","",""
"14435553","[Severe thoracic injury. Costal break: immediate osteosynthesis. Recovery].","","","","","","",""
"14446398","[Experimental principles of the treatment of rib fractures in radiation sickness  using intramedullary nailing].","","","","","","",""
"14510113","Penetrating chest injuries in civilian practice.","The purpose of this retrospective study is to show the pattern of penetrating  chest injury, methods of management and the outcome. Were viewed all consecutive  penetrating chest injured patients admitted to the Cardiothoracic Surgical Unit  of the University College Hospital, Ibadan between May 1975 and April 1999. We  found that 597 patients had penetrating chest injuries. This was 31% of all chest  injuries treated. To analyse pattern of injuries, period of study was divided  into 2 periods o","","","","","",""
"14569483","[Clinical results of four hundred and twenty-four cases with chest trauma].","BACKGROUND: In this retrospective study, we aimed to emphasize that thoracentesis  is a fast and safe method to evaluate indication for thoracotomy in patients with  thoracic trauma who have preshock or shock findings, without losing time by other  examinations such as X - ray studies. METHODS: File records of 424 patients who  were admitted to Thoracic Surgery Deparments of Adiyaman State Hospital and  Medical School of Yuzuncu Yil University between December 1994 and March 2002,  were investig","","","","","",""
"14569484","[Chest trauma: analysis of 592 cases].","INTRODUCTION: Thoracic traumas constitute an important part of the patients who  are being admitted to the emergency units and deaths due to trauma. The aim of  this study was to compare our clinical experience and results of the literature.  METHODS: 592 patients with thoracic trauma who were admitted to our clinic  between 1996 and 2000 were evaluated retrospectively. RESULTS: 449 patients  (75.8%) had blunt and 43 patients (24.2%) had penetrating thorax trauma. There  was rib fracture in 448 ","","","","","",""
"14608152","Absorbable plates for rib fracture repair: preliminary experience.","BACKGROUND: Absorbable prostheses are currently used in a variety of bone  reconstructions and fixations. METHODS: This is a case series of rib fracture  fixation using absorbable plates and screws consisting of 70:30  poly(L-lactide-co-D,L-lactide) from April 2001 through November 2002. RESULTS:  Ten patients underwent rib fracture fixation with absorbable plates and screws.  Indications included flail chest with failure to wean (five patients), acute pain  with instability (four patients), and","","","","","",""
"14743032","Intrathoracic humeral head fracture-dislocation.","There are few cases in the medical literature documenting intrathoracic  glenohumeral fracture-dislocations. A total of eight cases have been reported-two  intrathoracic humerus dislocations with greater tuberosity fractures 1, 2 and six  cases with intrathoracic fracture-dislocations in which the fracture involved the  humeral neck. 3-8 With so few cases, treatment modalities vary, and no guidelines  exist. Patients in five of the reported cases underwent surgery, 1, 3-6 while the  other three ","","","","","",""
"14977734","Open fixation in flail chest: review of 64 patients.","The strategy for treatment of flail chest remains controversial. Various  alternatives were assessed by reviewing the records of 64 patients treated from  1991 through 2000. Patients were classified according to therapeutic approach:  group 1 was 27 patients who underwent open fixation of the fractured ribs, group  2 was 19 patients managed by intermittent positive-pressure ventilation, and  group 3 was 18 patients managed mainly by synchronized intermittent mandatory  ventilation. Two patients ","","","","","",""
"15074182","[Successful conservative management in two patients with a tracheobronchial  rupture].","A 30-year-old woman with blunt chest trauma after falling from a horse appeared  to have a haematothorax. Bronchoscopy showed a bronchial rupture of the posterior  segment of the right upper lobe. As her condition was stable, a policy of  expectant management was instigated. She recovered without problems. A  73-year-old woman with an ileus of the small intestine had, after several  intubations, a tracheal rupture. Due to her poor condition a policy of  conservative management was followed. The ","","","","","",""
"15103568","[Flail chest due to blunt trauma: clinical features and factors affecting  prognosis].","BACKGROUND: We evaluated the clinical features of patients with flail chest,  together with treatment results, and the factors affecting prognosis. METHODS:  The study included 34 patients (27 males, 7 females; mean age 41 years; range  15-61 years) who underwent treatment for flail chest. A retrospective analysis  was made regarding the etiology, injury to the chest wall, pulmonary contusion,  hemothorax and pneumothorax requiring chest tube, associated injuries, injury  severity score (ISS), t","","","","","",""
"15353456","Factors affecting early exsanguination and death in blunt thoracic aortic trauma.","The traditional approach to blunt thoracic aortic injuries has been expedient  diagnosis and operative repair due to the significant risk of early  exsanguination and death in initial survivors. Nonoperative management has been  advocated in patients with multiple injuries to reduce the operative mortality.  However, specific clinical parameters and diagnostic tests that may predict the  risk of early exsanguination and death have yet to be identified. A retrospective  analysis of 80 patients wi","","","","","",""
"15370594","Early intramedullary nailing of lower extremity fracture and respiratory function  in polytraumatized patients with a chest injury: a retrospective study of 61  patients.","BACKGROUND: The optimal treatment of diaphyseal fractures of the lower  extremities in patients who also have serious chest injuries is not known.  PATIENTS AND METHODS: We retrospectively evaluated the effect of an early  intramedullary nailing (IMN) of femur or tibia fractures on respiratory function  in 61 consecutive polytraumatized patients with unilateral or bilateral pulmonary  contusion (thoracic AIS=3) admitted to our trauma intensive care unit between  January 2000 and June 2001. 27 pa","","","","","",""
"15581318","Surgical repair of rib fractures in 14 neonatal foals: case selection, surgical  technique and results.","REASONS FOR PERFORMING STUDY: Fractured ribs are encountered quite frequently in  newborn Thoroughbred foals, often with fatal outcome. Surgical repair of  fractures therefore requires consideration as a means of reducing mortality.  OBJECTIVES: To evaluate the repair of rib fractures using internal fixation  techniques in foals at 2 different equine hospitals following similar diagnostics  and case selection. METHODS: The records of 14 foals that underwent internal  fixation of fracture ribs we","","","","","",""
"15628710","Achalasia presenting after operative and nonoperative trauma.","Achalasia has been described following fundoplication and is attributed to vagal  nerve damage during surgery. Similarly, other traumatic events to the distal  esophagus may be linked to the development of achalasia. Operative and  nonoperative trauma as a possible factor in the development of achalasia was  studied. A retrospective analysis of patients with achalasia (n = 64) at our  institution was performed. Collected data included age, gender, symptoms, and  history of operative and nonopera","","","","","",""
"15674171","Operative chest wall fixation with osteosynthesis plates.","","","","","","",""
"15919275","Successful conservative management in iatrogenic tracheobronchial injury.","BACKGROUND: The aim of this study was to describe and to assess the effectiveness  of conservative treatment as the chosen treatment for managing iatrogenic  tracheobronchial injuries (ITBI). METHODS: Between January 1993 and December  2003, 33 tracheobronchial injuries were treated in our hospital. Eighteen (54.5%)  were ITBI and 15 (45.5%) were traumatic noniatrogenic injuries. Of the ITBI  patients, sex distribution was 15 (83%) females and 3 (17%) males with a mean age  of 57.7 +/- 20.7 year","","","","","",""
"1616723","Blunt chest injuries in 1696 patients.","We review 1696 patients with blunt chest trauma. Road traffic accidents were the  main cause of injury followed by domestic falls and labour accidents. Outdoor  falls and sport accidents accounted for a small number of injuries. For clinical  evaluation, Stoddart's score was used. The injuries were considered as minor in  710 patients, intermediate in 740 and severe in 246. Global in-hospital mortality  was low (5%) but increased to 37% when only patients with multiple severe  injuries were cons","","","","","",""
"16212597","Multiple rib fracture in a neonatal foal using a nylon strand suture repair  technique.","OBJECTIVES: To report rib fracture repair using the Securos Cranial Cruciate  Ligament Repair System (SCCLRS; Securos Veterinary Orthopedics, Charlton, MA) in  a neonatal foal. STUDY DESIGN: Case report. ANIMALS: A 1-day-old Standardbred  foal with fracture of left ribs 2-9. METHODS: Four days after admission the foal  was anesthetized and rib fractures were repaired using open reduction and the  SCCLRS. RESULTS: Rib fractures were successfully stabilized and the foal was  discharged 7 days post","","","","","",""
"16214360","New insights into the pathophysiology of flail segment: the implications of  anterior serratus muscle in parietal failure.","OBJECTIVE: The wisdom of surgery facing multiple and multi-focal ribs fractures  (flail segment) remains controversial. By the present retrospective study, we  sought to determine the advisability of surgery as well as the anatomical and  biomechanical features of flail segment leading to secondary dislocation. METHOD:  From 1970 to 2000, 127 patients underwent flail segment osteosynthesis. Clinical  charts, operative reports and imaging data were reviewed retrospectively. Rib  osteosynthesis wa","","","","","",""
"16308678","[Elastic, stable intramedullary nailing in midclavicular fractures--a change in  treatment strategies?].","Midshaft fractures of the clavicle are mostly treated conservatively. For the few  cases in which stabilisation is needed, open reduction and plate fixation is the  standard procedure. We report a minimally invasive technique of intramedullary  stabilisation using a titanium nail carried out in 35 markedly displaced  midclavicular fractures. Twelve fractures were simple and 23 consisted of more  than two fragments. A total of 62.9% (22/35) of the patients presented additional  injuries; 37.1% (1","","","","","",""
"16322967","[Does timing of thoracic spine stabilization influence perioperative lung  function after trauma?].","BACKGROUND: Proper timing of stabilization for spine injuries is discussed  controversially. Whereas early repair of long bone fractures is known to reduce  complications. PATIENTS AND METHODS: We investigated retrospectively 48 patients  who were stabilized in a ventrodorsal approach for fractures of the thoracic  spine. Patients were divided into three groups. All patients in groups I and II  presented radiological or clinical signs of lung contusion. Patients were  stabilized in the prone pos","","","","","",""
"1637248","Surgical stabilization of the flail chest.","","","","","","",""
"16582522","[Primary hyperparathyroidism complicated with flail chest due to severe  osteoporosis].","We report a 61-year-old woman who was admitted to our hospital in August 2004  with severe hypercalcemia and osteoporosis. Although she was found to have  hypercalcemia five years earlier, she has never been treated. The patient was  transferred to our hospital for further management of a recently-identified left  neck mass. Serum calcium level was 15.0 mg/dL and intact parathyroid hormone  (PTH) 3,321 pg/mL. (99m)Tc-methoxyisobutylisonitrile (MIBI) scintigraphy showed  marked accumulation in th","","","","","",""
"16631702","Chronic heart perforation with 13.5 cm long Kirschner wire without pericardial  tamponade: an unusual sequelae after shoulder fracture.","We report a unique case of cardiac embolization with the Kirschner wire that has  been used for osteosynthesis for 24 months previously. According to the complete  analysis of medical records and autopsy report, the wire had migrated from the  right humeroscapular joint to the heart. Although migration of a Kirschner wire  has been reported in the literature, migration of the wire with a total length of  13.5 cm with no pericardial tamponade, despite myocardial perforation, has not  been previou","","","","","",""
"16675244","Operative stabilization of flail chest using a prosthetic mesh and  methylmethacrylate.","Surgical stabilization of flail chest is a controversial operation, but recent  data has shown that selected patients benefit from it. We describe a simple and  practical method of operative stabilization of flail chest using a prosthetic  mesh and methylmethacrylate anchored to the ribs and sternum. The  methylmethacrylate-mesh complex is inexpensive, can be extracted electively as  soon as full thoracic stability is achieved, and can be used to stabilize  extended chest wall injuries.
FAU - Bi","","","","","",""
"16770235","Contrast-enhanced cardiac MRI in blunt chest trauma: differentiating cardiac  contusion from acute peri-traumatic myocardial infarction.","Blunt cardiac trauma most commonly manifests as a myocardial contusion. These  contusions can cause cardiac enzyme leaks, electrocardiographic abnormalities,  and cardiac contractile dysfunction making it difficult to differentiate a  myocardial contusion from a peri-traumatic myocardial infarction. We present a  case in which delayed contrast-enhanced cardiac magnetic resonance imaging was  used to differentiate between contusion and myocardial infarction, leading to  conservative management wi","","","","","",""
"16825964","Open clavicle fractures and associated injuries.","OBJECTIVES: To describe the associated injuries, demographic distribution, and  management of patients sustaining open clavicle fractures. DESIGN: Retrospective  case series. SETTING: A single level-1 trauma center. PATIENTS: Twenty patients  with open clavicle fractures were identified from a prospectively collected  orthopaedic trauma registry. INTERVENTION: All patients were managed with  surgical irrigation and debridement with or without internal fixation. RESULTS:  Thirteen patients (65%) ","","","","","",""
"16831441","Geometry of human ribs pertinent to orthopedic chest-wall reconstruction.","Orthopedic reconstruction of blunt chest trauma can aid restoration of pulmonary  function to reduce the mortality associated with serial rib fractures and flail  chest injuries. Contemporary chest wall reconstruction requires contouring of  generic plates to the complex surface geometry of ribs. This study established a  biometric foundation to generate specialized, anatomically contoured  osteosynthesis hardware for rib fracture fixation. On human cadaveric ribs three  through nine, the surfac","","","","","",""
"1693329","[Is there a favorable time for the management of femoral shaft fractures in  polytrauma?].","Despite the wide-spread opinion, that early stabilisation of femur fractures in  multiply injured patients is of advantage, there are no publications that  unambiguously prove this statement. In contrast, primary fracture stabilisation  of the femur with concomitant thoracic trauma seems to increase the rate of  complications. The biochemical data of the prospective study presented here  suggest, that operative stabilisation of femoral fractures imposes an additional  trauma on the already compr","","","","","",""
"17029121","[The factors affecting the morbidity and mortality in chest trauma].","BACKGROUND: We evaluated thoracic trauma cases with respect to etiologic causes,  other system injuries accompanying to the thoracic trauma, treatment methods and  outcomes and the prognostic factors affecting the need for thoracotomy, length of  hospital stay, morbidity and mortality in the light of relevant literature data.  METHODS: A retrospective evaluation was performed on 141 patients (102 males  (72.3%), 39 females (27.7%); mean age 40; range 8 to 89 years) who were treated  for thoracic","","","","","",""
"17058657","[Surgical fixation of the ribs for flail chest injuries].","The record of 20 patients presenting with flail chest injury from 1998 to 2005  was reviewed to determine surgical indication and timing. There were 4 groups  with each indication as followed: 1) 8 patients with surgical indication for  injury regions other than fractured ribs, 2) 5 without improvement of flail chest  after internal pneumatic stabilization for more than 10 days, 3) 4 performed  surgical fixation positively for flail chest with respiratory failure, 4) 3 with  strong deformation o","","","","","",""
"17058658","[Surgical stabilization of multiple rib fracture and flail chest].","The experience of 14 cases with surgical stabilization of multiple rib fracture  and flail chest was reported. They were 11 men and 3 women of 31 to 87 years of  age. Paradoxical chest movement was noted in 10 patients. Thirteen of 14 patients  successfully weaned from the ventilator less than 7 days after surgery. Of 14, 4  cases were treated with internal fixation and the others were with acetabular  reconstruction plates with or without rib stapler. No case of death was  experienced. Ten pati","","","","","",""
"17110887","Intrathoracic fracture-dislocation of the proximal humerus: a case report and  report of a new surgical technique.","","","","","","",""
"17227272","Conservative management of flail chest after cardiopulmonary resuscitation by  continuous negative extrathoracic pressure.","Flail chest after blunt trauma usually requires good pain control and positive  pressure support. Continuous negative extrathoracic pressure (CNEP) causes a  splinting effect around the anterior chest wall and upper abdomen which increases  functional residual capacity and improves lung mechanics. We report an  82-year-old woman with flail chest after cardiopulmonary resuscitation. She  underwent mechanical ventilation, with two failed attempts at extubation. She was  subsequently ventilated non","","","","","",""
"17262180","[Respiratory failure in thoracic spine injuries. Does the timing of dorsal  stabilization have any effect on the clinical course in multiply injured  patients?].","BACKGROUND: Proper timing of stabilization for spinal injuries is discussed  controversially. Whereas early repair of long bone fractures is known to reduce  complications, few studies exist that investigate this issue in acute spinal  trauma. In particular, the importance of coexisting lung injuries has to be  determined, as it might influence clinical course and outcome. MATERIAL AND  METHODS: We investigated retrospectively 30 severely injured patients who were  stabilized dorsally for fractu","","","","","",""
"17410733","[Technique of internal surgical stabilization for flail chest].","","","","","","",""
"17514061","Surgical stabilization of a rib fracture using an angle stable plate.","","","","","","",""
"17650694","The management of flail chest.","Flail chest is an uncommon consequence of blunt trauma. It usually occurs in the  setting of a high-speed motor vehicle crash and can carry a high morbidity and  mortality. The outcome of flail chest injury is a function of associated  injuries. Isolated flail chest may be successfully managed with aggressive  pulmonary toilet including facemask oxygen, CPAP, and chest physiotherapy.  Adequate analgesia is of paramount importance in patient recovery and may  contribute to the return of normal re","","","","","",""
"17658097","Operative fixation of chest wall fractures: an underused procedure?","Chest wall fractures, including injuries to the ribs and sternum, usually heal  spontaneously without specific treatment. However, a small subset of patients  have fractures that produce overlying bone fragments that may produce severe  pain, respiratory compromise, and, if untreated mechanically, result in nonunion.  We performed open reduction and internal fixation on seven patients with multiple  rib fractures-five in the initial hospitalization and two delayed--as well as 35  sternal fractur","","","","","",""
"17711959","Bilateral fractured clavicles with multiple rib fractures.","","","","","","",""
"17906799","Trauma-related thoracoplasty: case report.","Trauma primarily affects young people and is the leading cause of death in the  first three decades of life. Flail chest is observed in approximately 10% of all  patients with severe chest trauma, and the mortality rate among such patients is  10-15%. We report herein the case of a car accident victim with chest trauma  causing hemopneumothorax and multiple rib fractures, intense pain and deformity  of the chest wall. Surgical stabilization was performed, with good results.  Therapeutic options ","","","","","",""
"17984019","[Successful cardiac surgical removal of migrated Kirschner wires used for  fixation of the surgical neck of the humerus].","Dislocation and migration of two Kirschner wires were found 13 days after  fixation of the surgical neck of the humerus. One of the wires was located  between the lateral thoracic muscles, while the other one has perforated the apex  of the heart, showing a synchronous motion with heart contractions. An  anterolateral thoracotomy was performed and the wires were removed successfully.
FAU - Huttl, Tivadar","","","","","",""
"18098083","[Severe injury to the chest wall--experience with surgical therapy].","INTRODUCTION: Chest wall instabilities after extensive injuries of its skeleton  belong to the most serious chest trauma with a relatively high rate of  complications and mortality, mainly due to its pathophysiological consequences  for the respiratory system. OBJECTIVE: Retrospective analysis of an almost ten  year file of injured patients treated with surgical stabilisation using  instrumentation from Medin a. s. Company, Nove Mesto na Morave. PATIENTS AND  METHODS: From the end of 1997 to the","","","","","",""
"18297467","Delayed sudden cardiac arrest induced by aortic injury with a posterior fracture  of the left rib.","","","","","","",""
"18469648","Reduction of rib fractures with a bioresorbable plating system: preliminary  observations.","BACKGROUND: Operative fixation of rib fractures can reduce morbidity and  mortality. Currently, resorbable fixation devices are used in a variety of  surgical procedures. METHODS: A standard osteotomy was prepared in 30 New Zealand  white rabbits at the 12th rib. Eighteen had surgical repair with bioresorbable  plates and 12 underwent nonoperative management. Half the animals in each group  were killed at 3-week postfracture and the remaining animals were killed at  6-week postfracture. Ribs wer","","","","","",""
"18469649","Biomechanical testing of a novel, minimally invasive rib fracture plating system.","BACKGROUND: A novel rib fracture repair plating system was developed to provide  durable fixation with a shorter length than standard systems and thus facilitate  minimally invasive repair. We hypothesized that U-plate fixation would be at  least equivalent in durability to standard anterior fixation. STUDY: Twenty fresh  frozen ribs (10 pairs) from two human cadavers were first tested for intact  stiffness (force or deformation). A gap of 5 mm was then created in the middle of  each rib with a ","","","","","",""
"1864750","[Significance of rib fractures in simple and multiple trauma].","In a retrospect study we evaluated the clinical impact of traumatic rib  fractures. Our series included 96 patients treated between 1986 and 1988.  Haemato- and/or pneumothorax corresponded closely to the number of fractured  ribs. There was a highly significant association (p less than 0.001) between the  number of fractured ribs and polytrauma. The leading cause of injuries was a  traffic accident.
FAU - Inderbitzi, R","","","","","",""
"1874102","[Internal fixation of fractured ribs with Kirschner wires for serious traumatic  chest instability].","Internal fixation of fractured ribs with kirschner wires was done in 14 patients  with serious traumatic chest wall instability. Four of these patients had  fracture of prothorax ribs, and 10 fracture of lateral thorax ribs. This method  can not only stabilize the chest wall but also reduce the fractured ribs. It is  an ideal treatment for serious traumatic chest wall instability. In this paper,  operative opportunity, indication and the main technical points of surgery are  discussed.
FAU - Yu,","","","","","",""
